"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.945371362,      -2.195887618,      -2.633102932,       2.062353512
          0,           0,           1,      -5.093568854,      -2.138238622,      -2.048189042,       1.915186308
          0,           0,           2,      -5.125404112,      -2.144177368,      -2.007956024,       1.883437206
          0,           0,           3,      -5.174999581,      -2.135312525,      -1.948575499,        1.83639957
          0,           0,           4,      -5.249236805,      -2.118021566,      -1.890196089,       1.770135419
          0,           0,           5,      -5.340108349,      -2.107820481,      -1.852970149,       1.696781583
          0,           0,           6,      -5.387300542,      -2.120790446,      -1.854092009,       1.666830932
          0,           0,           7,       -5.34546636,      -2.155287944,      -1.907962042,       1.706113562
          0,           0,           8,      -5.296654067,      -2.164383083,      -2.018261054,       1.752101572
          0,           0,           9,      -5.299572025,      -2.167541547,      -2.132316604,       1.744134296
          0,           0,          10,      -5.332081425,      -2.137154011,       -2.19753989,       1.718775055
          0,           0,          11,      -5.374097297,      -2.104204603,      -2.193507185,       1.688599524
          0,           0,          12,      -5.416177804,      -2.124871417,      -2.199880747,       1.645216239
          0,           0,          13,      -5.432080596,      -2.142393222,      -2.218534762,       1.627067742
          0,           0,          14,      -5.430027002,      -2.156136795,      -2.237422191,       1.629965209
          0,           0,          15,      -5.456148373,      -2.201503315,      -2.276196316,       1.600511795
          0,           0,          16,      -5.473756147,      -2.230298183,      -2.292653834,       1.585708649
          0,           0,          17,      -5.492008386,      -2.259381964,      -2.306517067,        1.57019086
          0,           0,          18,      -5.506502786,      -2.288314127,      -2.323834567,       1.558225918
          0,           0,          19,      -5.496935854,      -2.295929041,      -2.327638977,       1.577897531
          0,           0,          20,      -5.521850651,      -2.330426134,      -2.367598338,       1.551954444
          0,           0,          21,      -5.527576225,      -2.331101428,      -2.384332206,       1.553521058
          0,           0,          22,      -5.561418913,      -2.356575238,      -2.423652386,       1.515924495
          0,           0,          23,      -5.577890913,      -2.351144866,      -2.436749105,       1.502511463
          0,           0,          24,       -5.57608578,      -2.313395501,      -2.422733131,       1.512395945
          0,           0,          25,      -5.607571587,      -2.325711257,      -2.444564911,       1.476177088
          0,           0,          26,       -5.62021929,      -2.311754285,      -2.443599107,       1.463884734
          0,           0,          27,      -5.613138512,      -2.274912688,      -2.421265083,       1.475165013
          0,           0,          28,      -5.642971032,      -2.293933072,      -2.443573147,       1.439871295
          0,           0,          29,      -5.650288625,       -2.28887395,      -2.443967443,       1.432419043
          0,           0,          30,      -5.633748438,       -2.26500178,      -2.426006263,       1.453082366
          0,           0,          31,      -5.658785667,      -2.291469477,      -2.456236105,       1.423251776
          0,           0,          32,      -5.654549382,      -2.291864009,      -2.465203717,       1.428301321
          0,           0,          33,      -5.683070967,      -2.325849782,      -2.506957507,       1.393128495
          0,           0,          34,      -5.685441936,      -2.334268308,      -2.527555979,       1.390178011
          0,           0,          35,       -5.66028446,      -2.315575044,      -2.524930202,       1.420883926
          0,           0,          36,      -5.682606074,       -2.33797938,      -2.558735792,       1.394149631
          0,           0,          37,       -5.68198144,      -2.334524228,       -2.56658188,        1.39633095
          0,           0,          38,      -5.660588512,      -2.305333118,      -2.544967149,        1.42406766
          0,           0,          39,      -5.691974832,      -2.322725978,      -2.567365542,       1.389431221
          0,           0,          40,      -5.702144136,      -2.315579449,      -2.561176092,       1.381023181
          0,           0,          41,      -5.717052382,      -2.310296362,      -2.555364676,       1.367529883
          0,           0,          42,      -5.734432174,      -2.306441147,      -2.551067881,       1.351392015
          0,           0,          43,      -5.751827833,      -2.303644269,      -2.549171008,        1.33513816
          0,           0,          44,      -5.766882325,      -2.301693842,      -2.550211637,       1.321080976
          0,           0,          45,      -5.808230168,      -2.328813429,      -2.585534956,       1.274154515
          0,           0,          46,      -5.822237828,      -2.335995706,      -2.598018381,       1.259131573
          0,           0,          47,      -5.803102365,      -2.321693284,      -2.587224727,       1.282416366
          0,           0,          48,      -5.827300469,      -2.342434761,      -2.617560772,       1.253646997
          0,           0,          49,      -5.821154106,       -2.34350663,      -2.625052761,       1.260242149
          0,           0,          50,      -5.780688667,      -2.323928199,      -2.608912081,       1.305964187
          0,           0,          51,      -5.799873051,      -2.344081814,      -2.637893981,       1.282772131
          0,           0,          52,      -5.787298843,      -2.344147848,       -2.64185319,       1.296438032
