"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
0, 6.666666666666666e-01, 4.363323129985824e-02, 7.233189698076115e-04, -1.097534783030713e-01, 5.258657590239642e-01, 5.285490699897487e+03, 2.034402818274938e+03, 1.638573081858731e+03, 3.742709876070294e-01, -6.136528275676191e-01, -1.517359323954459e+02, 7.270177901788390e+02
1, 6.666409855899192e-01, 4.386685809309609e-02, 7.098505066147204e-04, -7.684835344382992e-03, 5.866873494743331e-01, 5.200455300024372e+03, 1.983186738723266e+03, 1.627629060818829e+03, 4.179407394511628e-01, -9.978072067412690e-01, -1.082599120909556e+01, 8.264942322465151e+02
2, 6.666604665428680e-01, 4.410657054979675e-02, 6.988032639108406e-04, 1.056945790581254e-01, 6.082075651515744e-01, 5.129235730836637e+03, 1.942625601322214e+03, 1.619544574227695e+03, 4.477921551023422e-01, -1.302042491700112e+00, 1.512508377058909e+02, 8.703559307204021e+02
3, 6.667253334319114e-01, 4.435222826118874e-02, 6.942833335278697e-04, 2.100895605996969e-01, 5.957149541047675e-01, 5.100776655917161e+03, 1.925367983852746e+03, 1.615607007422265e+03, 4.617477289149906e-01, -1.431486005983768e+00, 3.025991701862790e+02, 8.580285963048464e+02
4, 6.668357508798048e-01, 4.460359429736167e-02, 6.940152890780663e-04, 2.945948849633507e-01, 5.616936072388719e-01, 5.099581977403362e+03, 1.923902821985017e+03, 1.615001075954292e+03, 4.639031038982115e-01, -1.442475686424238e+00, 4.244789554343856e+02, 8.093389527268611e+02
5, 6.669918238226858e-01, 4.486033602723927e-02, 6.959602520255804e-04, 3.571209473036652e-01, 5.173816482050926e-01, 5.111999119876622e+03, 1.931224443116118e+03, 1.616616604616582e+03, 4.582963241481094e-01, -1.387558698541068e+00, 5.131341140018711e+02, 7.434068924184422e+02
6, 6.671935969889624e-01, 4.512202652923602e-02, 6.988409736421618e-04, 3.998706108292193e-01, 4.698166193974919e-01, 5.129552978027845e+03, 1.942891069588956e+03, 1.619678488863178e+03, 4.474770358185046e-01, -1.300051304594552e+00, 5.721911363399408e+02, 6.722797276023189e+02
7, 6.674410542670528e-01, 4.538814658142127e-02, 7.031463320732336e-04, 4.294956846731072e-01, 4.259515525183962e-01, 5.157273651301541e+03, 1.958834035091946e+03, 1.622970582830299e+03, 4.356084152822994e-01, -1.180468547214447e+00, 6.108197754608705e+02, 6.057793848720992e+02
8, 6.677341179727101e-01, 4.565808721718293e-02, 7.068633078625678e-04, 4.513806780244801e-01, 3.880698999907509e-01, 5.181509758591533e+03, 1.972346113894773e+03, 1.625572757256975e+03, 4.260773838922353e-01, -1.079119043517889e+00, 6.385685506712423e+02, 5.490027501416180e+02
9, 6.680726480302120e-01, 4.593115282966555e-02, 7.095713329822237e-04, 4.663164738959998e-01, 3.540854926534168e-01, 5.198603318245380e+03, 1.982811834532835e+03, 1.627961624774380e+03, 4.171911461816754e-01, -1.000619235459306e+00, 6.571805429852139e+02, 4.990132439049471e+02
10, 6.684564410850005e-01, 4.620656480566145e-02, 7.123449270259659e-04, 4.757101868740085e-01, 3.233408966260546e-01, 5.216089495872938e+03, 1.993545541178975e+03, 1.630401430911356e+03, 4.079368953415751e-01, -9.201093555744155e-01, 6.678087662673398e+02, 4.539105766864939e+02
11, 6.688852295683901e-01, 4.648346566715750e-02, 7.152522069634998e-04, 4.826714098901594e-01, 2.965655372943403e-01, 5.234940055870953e+03, 2.004239058320414e+03, 1.632484389949109e+03, 3.998820500159918e-01, -8.399009234841026e-01, 6.748268725227306e+02, 4.146307196357583e+02
12, 6.693586807377031e-01, 4.676092369638785e-02, 7.172959498883392e-04, 4.869865459403283e-01, 2.724271558078969e-01, 5.247684975693928e+03, 2.012255585350862e+03, 1.634344046040176e+03, 3.925412623973978e-01, -7.797716829903399e-01, 6.789199716186005e+02, 3.797974265019974e+02
13, 6.698763957175955e-01, 4.703793801800995e-02, 7.194176276219188e-04, 4.893534139111708e-01, 2.505288896565129e-01, 5.261037046128723e+03, 2.020393666715719e+03, 1.636114320247745e+03, 3.853872125283395e-01, -7.187307048102876e-01, 6.802077056809964e+02, 3.482384640541159e+02
14, 6.704379085703952e-01, 4.731344410990607e-02, 7.211104087518012e-04, 4.915311402324757e-01, 2.311146858988463e-01, 5.271742958393981e+03, 2.026874245766935e+03, 1.637509251839293e+03, 3.797039506663614e-01, -6.701220872843443e-01, 6.816309045979333e+02, 3.204983357526234e+02
15, 6.710426854249539e-01, 4.758631971210922e-02, 7.224263870405007e-04, 4.937522313415788e-01, 2.136913467418931e-01, 5.280126362588589e+03, 2.031916357575052e+03, 1.638592446199065e+03, 3.752986393549985e-01, -6.323029229061468e-01, 6.834637275145627e+02, 2.957967075611720e+02
16, 6.716901236948010e-01, 4.785539110145240e-02, 7.235225755359954e-04, 4.957193930558328e-01, 1.976846723771818e-01, 5.287144440371380e+03, 2.036127144658989e+03, 1.639500409506257e+03, 3.716125777641425e-01, -6.007192423077490e-01, 6.851470981241976e+02, 2.732252994742207e+02
17, 6.723795514172627e-01, 4.811943969773783e-02, 7.243724834113553e-04, 4.969173374574289e-01, 1.825926248719456e-01, 5.292407397558945e+03, 2.039580973003479e+03, 1.640354557919035e+03, 3.681039216492167e-01, -5.748132515512474e-01, 6.859969819908805e+02, 2.520700731370207e+02
18, 6.731102267456488e-01, 4.837720896550544e-02, 7.255006599459927e-04, 4.978317580931600e-01, 1.683891692229248e-01, 5.299750555421651e+03, 2.043762077318930e+03, 1.641161222802588e+03, 3.647597937820847e-01, -5.434522112954834e-01, 6.861906343823578e+02, 2.321006423832335e+02
19, 6.738813376266107e-01, 4.862741157384148e-02, 7.264987651222914e-04, 4.987415742524917e-01, 1.549811834828323e-01, 5.306331234625587e+03, 2.047442944296581e+03, 1.641858214395658e+03, 3.619135386921589e-01, -5.158432810337785e-01, 6.865002367464982e+02, 2.133261485403135e+02
20, 6.746920016943005e-01, 4.886873677509895e-02, 7.270257440718979e-04, 4.992856777747671e-01, 1.421059247510562e-01, 5.309586622112926e+03, 2.049702395874026e+03, 1.642478682291606e+03, 3.594009158601706e-01, -4.988959038505889e-01, 6.867510288953276e+02, 1.954620258082675e+02
21, 6.755412664120225e-01, 4.909985796189559e-02, 7.276627326826281e-04, 4.996802920423609e-01, 1.297198823487936e-01, 5.313674955205493e+03, 2.052219661525142e+03, 1.643056256256761e+03, 3.570374952196413e-01, -4.800147510586401e-01, 6.866921577805988e+02, 1.782692400235525e+02
22, 6.764281094906236e-01, 4.931944036031207e-02, 7.282949293798896e-04, 5.001055924529402e-01, 1.177735037700337e-01, 5.317823266798252e+03, 2.054637740145374e+03, 1.643564291821096e+03, 3.549744511397702e-01, -4.618775664228875e-01, 6.866800416676766e+02, 1.617112779712919e+02
23, 6.773514396109306e-01, 4.952614881583379e-02, 7.288280097776658e-04, 5.004637388362716e-01, 1.061604892041728e-01, 5.321309548906451e+03, 2.056700563637525e+03, 1.644011059122881e+03, 3.531571433698037e-01, -4.464050295768648e-01, 6.866691896061207e+02, 1.456591785441367e+02
24, 6.783100974750701e-01, 4.971865562727581e-02, 7.293408703579047e-04, 5.006331615392645e-01, 9.479454145808018e-02, 5.324650133352074e+03, 2.058667123374997e+03, 1.644425869578904e+03, 3.514360858260805e-01, -4.316545343872785e-01, 6.864186306926583e+02, 1.299728910181083e+02
25, 6.793028572085218e-01, 4.989564838271852e-02, 7.298871407636917e-04, 5.004379522601528e-01, 8.360311563229632e-02, 5.328199067188924e+03, 2.060740604983387e+03, 1.644850149547550e+03, 3.496423549918458e-01, -4.161020546392809e-01, 6.856374421619993e+02, 1.145425244029113e+02
26, 6.803284281312175e-01, 5.005583775039022e-02, 7.304525963799589e-04, 4.999354760392759e-01, 7.257222305598325e-02, 5.331875988719264e+03, 2.062875304612087e+03, 1.645279407489656e+03, 3.478129026505544e-01, -4.000903993590673e-01, 6.844187816114282e+02, 9.935240618712706e+01
27, 6.813854569119479e-01, 5.019796517649910e-02, 7.309359282796917e-04, 4.993067957335111e-01, 6.170539750700743e-02, 5.334995326531950e+03, 2.064740396096189e+03, 1.645678015422141e+03, 3.461165750877163e-01, -3.861009829990286e-01, 6.831061060422412e+02, 8.441970782888640e+01
28, 6.824725301157376e-01, 5.032081044129063e-02, 7.313837616426661e-04, 4.986221915916766e-01, 5.098541015656111e-02, 5.337902085580399e+03, 2.066462671879668e+03, 1.646042230763180e+03, 3.445718241144935e-01, -3.731827785960422e-01, 6.817517939853984e+02, 6.971088617287509e+01
29, 6.835881771487785e-01, 5.042319902414729e-02, 7.317713114610474e-04, 4.978127511286407e-01, 4.038300323446679e-02, 5.340406720900471e+03, 2.067986109631389e+03, 1.646383331095558e+03, 3.431348093848064e-01, -3.617559905863914e-01, 6.802845962008440e+02, 5.518527797139038e+01
30, 6.847308735999329e-01, 5.050400922842501e-02, 7.321033729035084e-04, 4.968072651742768e-01, 2.987893529897876e-02, 5.342541309617950e+03, 2.069345695198452e+03, 1.646718492347503e+03, 3.417473909467075e-01, -3.515582020398988e-01, 6.786026175565186e+02, 4.081245409439853e+01
31, 6.858990449718645e-01, 5.056217901701485e-02, 7.325182586175155e-04, 4.956454773111941e-01, 1.946784898734877e-02, 5.345309138692837e+03, 2.070946234729262e+03, 1.647058755685823e+03, 3.403676176938965e-01, -3.395530998301303e-01, 6.766322497498257e+02, 2.657660578193712e+01
32, 6.870910707885338e-01, 5.059671251041057e-02, 7.330337831478730e-04, 4.940526016889947e-01, 9.138241824546497e-03, 5.348758831333362e+03, 2.072884097982658e+03, 1.647440551696691e+03, 3.387926231643671e-01, -3.250178471995456e-01, 6.739834002839276e+02, 1.246633106772251e+01
33, 6.883052890592394e-01, 5.060668610043906e-02, 7.336341203241676e-04, 4.921539280497229e-01, -1.096952816283888e-03, 5.352781687213114e+03, 2.075080660972581e+03, 1.647836748022382e+03, 3.371170860660222e-01, -3.085421759045911e-01, 6.708438367510184e+02, -1.495231459244538e+00
34, 6.895400010727119e-01, 5.059125413485161e-02, 7.342237693437275e-04, 4.897860920461851e-01, -1.122643143040511e-02, 5.356658879139715e+03, 2.077283906172855e+03, 1.648261592044469e+03, 3.352697238893486e-01, -2.920163836243624e-01, 6.670801361878702e+02, -1.529020429349440e+01
35, 6.907934764881071e-01, 5.054965413074903e-02, 7.346311517135723e-04, 4.865788286446056e-01, -2.121447153591651e-02, 5.359073869987065e+03, 2.079050470525976e+03, 1.648748502807762e+03, 3.330691329874241e-01, -2.787659857359655e-01, 6.623443989676051e+02, -2.887771841206632e+01
36, 6.920639586832755e-01, 5.048121147837945e-02, 7.351726575459571e-04, 4.827911486362653e-01, -3.103351101805655e-02, 5.362337701310504e+03, 2.081262861595683e+03, 1.649287284013713e+03, 3.305464592731526e-01, -2.621715934022987e-01, 6.567044403526189e+02, -4.221254789541269e+01
37, 6.933496703146015e-01, 5.038534360123148e-02, 7.357142780657416e-04, 4.788227487187212e-01, -4.068785679124837e-02, 5.365611721215740e+03, 2.083468490370923e+03, 1.649819660115360e+03, 3.280386538634495e-01, -2.456279227376019e-01, 6.508270438594570e+02, -5.530388359217437e+01
