"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.251291655,      -2.298847381,      -2.952009217,       1.764920233
          0,           0,           1,      -5.386446712,      -2.331473159,      -2.501606324,       1.637863446
          0,           0,           2,      -5.389795503,      -2.343286042,      -2.499854282,       1.633619584
          0,           0,           3,      -5.393651786,      -2.356695349,      -2.496617444,       1.628837809
          0,           0,           4,       -5.39809072,      -2.371726435,      -2.491361685,       1.623462958
          0,           0,           5,      -5.403207544,      -2.388293103,      -2.483490476,       1.617423184
          0,           0,           6,      -5.409126624,      -2.406125181,      -2.472405145,       1.610620206
          0,           0,           7,      -5.416012936,      -2.424665973,      -2.457597839,       1.602917288
          0,           0,           8,      -5.424085148,       -2.44294341,      -2.438765023,       1.594126147
          0,           0,           9,        -5.4336283,      -2.459452616,      -2.415913864,       1.583994916
          0,           0,          10,      -5.445001717,      -2.472153531,      -2.389430529,        1.57220142
          0,           0,          11,      -5.458634188,      -2.478749511,      -2.360082798,       1.558359081
          0,           0,          12,      -5.474988313,      -2.477404133,      -2.328995593,       1.542052476
          0,           0,          13,      -5.494464907,      -2.467675392,      -2.297572426,       1.522929676
          0,           0,          14,      -5.517189984,      -2.451080769,      -2.267424821,       1.500905556
          0,           0,          15,      -5.542591685,      -2.430905413,       -2.24035202,       1.476561253
          0,           0,          16,      -5.568687578,      -2.411422018,      -2.218350968,       1.451810014
          0,           0,          17,      -5.591309369,      -2.397074375,       -2.20363886,       1.430603603
          0,           0,          18,      -5.604285593,      -2.392013758,      -2.198694705,       1.418729587
          0,           0,          19,      -5.602403919,      -2.399745124,      -2.206239093,       1.421036283
          0,           0,          20,      -5.586476086,      -2.422269405,      -2.228517782,       1.436393375
          0,           0,          21,      -5.565140216,       -2.45559912,      -2.263709667,       1.456297768
          0,           0,          22,      -5.547310533,      -2.490321656,        -2.3068023,       1.472598435
          0,           0,          23,      -5.538105244,       -2.51548855,      -2.349868966,       1.480380667
          0,           0,          24,       -5.53953705,      -2.523773234,       -2.38262761,       1.477593494
          0,           0,          25,      -5.551501776,      -2.516470204,      -2.397074907,       1.464268936
          0,           0,          26,      -5.572246851,      -2.501368686,      -2.393460962,       1.442151857
          0,           0,          27,      -5.598396997,      -2.486459723,      -2.379611437,       1.414713422
          0,           0,          28,      -5.625045034,      -2.476661822,       -2.36451163,       1.387053448
          0,           0,          29,      -5.646576111,      -2.473867611,      -2.354204613,       1.364978663
          0,           0,          30,      -5.658753104,      -2.477927662,      -2.351541568,       1.352742289
          0,           0,          31,      -5.660841863,      -2.487451431,      -2.357193109,       1.350861735
          0,           0,          32,      -5.655744398,      -2.500281602,      -2.370413553,       1.356151007
          0,           0,          33,      -5.647920024,      -2.513898646,      -2.389375424,        1.36399746
          0,           0,          34,       -5.64122006,      -2.525930784,      -2.411336899,       1.370549508
          0,           0,          35,      -5.638002862,      -2.534711943,      -2.432887066,       1.373527957
          0,           0,          36,      -5.639152408,      -2.539686783,       -2.45060169,       1.372136654
          0,           0,          37,      -5.644420908,      -2.541414847,       -2.46214824,       1.366687683
          0,           0,          38,      -5.652758354,      -2.541141278,      -2.467188782,        1.35825575
          0,           0,          39,      -5.662616978,      -2.540235411,      -2.467338657,       1.348378494
          0,           0,          40,      -5.672290455,      -2.539779856,      -2.465202181,       1.338723925
          0,           0,          41,      -5.680315827,      -2.540388773,      -2.463275981,       1.330702689
          0,           0,          42,      -5.685838733,      -2.542202116,      -2.463301267,       1.325122913
          0,           0,          43,      -5.688788759,       -2.54498389,      -2.466102317,        1.32203108
          0,           0,          44,      -5.689775209,      -2.548269069,       -2.47168314,       1.320818816
          0,           0,          45,      -5.689765376,      -2.551524328,      -2.479419524,       1.320537093
          0,           0,          46,      -5.689723673,      -2.554294861,      -2.488282541,       1.320245286
          0,           0,          47,      -5.690356134,      -2.556314064,      -2.497095733,       1.319257938
          0,           0,          48,      -5.691990909,      -2.557547625,      -2.504819185,       1.317263166
          0,           0,          49,      -5.694584318,      -2.558156434,      -2.510793904,       1.314318155
          0,           0,          50,      -5.697802808,      -2.558412497,       -2.51487794,       1.310768554
          0,           0,          51,      -5.701152815,      -2.558597857,      -2.517404404,       1.307118693
          0,           0,          52,      -5.704129897,      -2.558922145,      -2.518993728,       1.303880888
          0,           0,          53,      -5.706353191,      -2.559482137,      -2.520318975,       1.301439054
          0,           0,          54,      -5.707649613,      -2.560264312,      -2.521915504,       1.299963887
          0,           0,          55,      -5.708070041,      -2.561177685,      -2.524078476,       1.299396957
          0,           0,          56,      -5.707838945,      -2.562101835,      -2.526845421,       1.299503582
          0,           0,          57,      -5.707265845,      -2.562934039,      -2.530044656,       1.299963607
          0,           0,          58,      -5.706654257,      -2.563621385,      -2.533380987,       1.300464194
          0,           0,          59,      -5.706233627,       -2.56417124,      -2.536533486,       1.300768309
          0,           0,          60,      -5.706127184,      -2.564639436,      -2.539244026,       1.300746797
          0,           0,          61,      -5.706353361,      -2.565106684,      -2.541376678,       1.300376051
          0,           0,          62,      -5.706849122,      -2.565651716,      -2.542934492,       1.299714726
          0,           0,          63,      -5.707505114,      -2.566328919,      -2.544036471,       1.298868673
          0,           0,          64,      -5.708201206,      -2.567156086,      -2.544868346,       1.297956406
          0,           0,          65,      -5.708835656,      -2.568114228,      -2.545626229,       1.297080794
          0,           0,          66,      -5.709341368,      -2.569154531,      -2.546469014,       1.296313653
          0,           0,          67,       -5.70969021,      -2.570211899,      -2.547489884,       1.295691332
          0,           0,          68,      -5.709886147,      -2.571219383,      -2.548709957,        1.29522049
          0,           0,          69,      -5.709951794,       -2.57211947,      -2.550086976,        1.29489063
          0,           0,          70,      -5.709913917,      -2.572870681,      -2.551537111,       1.294686941
          0,           0,          71,      -5.709792603,      -2.573450282,      -2.552961439,       1.294599422
          0,           0,          72,      -5.709595386,      -2.573852931,      -2.554269948,       1.294627748
          0,           0,          73,      -5.709317386,      -2.574085966,      -2.555398455,       1.294780161
          0,           0,          74,      -5.708945866,      -2.574164552,      -2.556316805,       1.295068743
          0,           0,          75,       -5.70846712,      -2.574107711,      -2.557027415,        1.29550282
          0,           0,          76,      -5.707873318,      -2.573935308,       -2.55755671,       1.296082899
          0,           0,          77,      -5.707167658,       -2.57366658,      -2.557944284,       1.296796344
          0,           0,          78,      -5.706365749,      -2.573319644,      -2.558230743,       1.297617369
          0,           0,          79,      -5.705494014,       -2.57291173,      -2.558449609,       1.298509665
          0,           0,          80,      -5.704585659,      -2.572459235,      -2.558623246,       1.299431362
          0,           0,          81,      -5.703675165,      -2.571977458,      -2.558763008,       1.300341178
          0,           0,          82,      -5.702792763,      -2.571479298,      -2.558871756,       1.301204344
          0,           0,          83,      -5.701960417,      -2.570974243,      -2.558948096,       1.301996566
          0,           0,          84,      -5.701189652,      -2.570466926,      -2.558990067,       1.302706004
          0,           0,          85,      -5.700481172,      -2.569956234,      -2.558997469,       1.303333433
          0,           0,          86,      -5.699826643,        -2.5694352,      -2.558972438,        1.30388992
          0,           0,          87,      -5.699211301,      -2.568891601,      -2.558918125,       1.304393867
          0,           0,          88,      -5.698617109,      -2.568309552,      -2.558836871,       1.304867493
          0,           0,          89,       -5.69802582,      -2.567671664,      -2.558728142,        1.30533344
          0,           0,          90,      -5.697421773,      -2.566961659,      -2.558587431,       1.305811541
          0,           0,          91,      -5.696793494,      -2.566166501,       -2.55840587,       1.306316982
          0,           0,          92,      -5.696134356,      -2.565277853,      -2.558171047,       1.306859526
          0,           0,          93,      -5.695442745,      -2.564293124,      -2.557869002,        1.30744312
          0,           0,          94,      -5.694721464,      -2.563215541,      -2.557486674,       1.308066366
          0,           0,          95,      -5.693976652,      -2.562053408,      -2.557014265,        1.30872365
          0,           0,          96,      -5.693216833,      -2.560818906,       -2.55644749,       1.309405888
          0,           0,          97,      -5.692451371,      -2.559526553,       -2.55578833,       1.310102493
          0,           0,          98,      -5.691689536,      -2.558191644,      -2.555045465,       1.310802275
          0,           0,          99,      -5.690939262,       -2.55682889,      -2.554233199,       1.311495103
          0,           0,         100,        -5.6902064,      -2.555451428,      -2.553370058,       1.312172859
          0,           0,         101,      -5.689494115,      -2.554070241,       -2.55247728,       1.312830213
          0,           0,         102,      -5.688802311,      -2.552693904,      -2.551577094,       1.313465503
          0,           0,         103,      -5.688127432,      -2.551328544,      -2.550691421,       1.314081061
          0,           0,         104,      -5.687462615,      -2.549978248,      -2.549841241,       1.314683069
