"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
0, 1.500000000000000e+00, 2.617993877991494e-01, 6.485666481763770e-04, 3.318886081613449e-01, -6.573420411197678e-01, 4.800310769118681e+03, 1.752909848262162e+03, 1.574576232100243e+03, 5.836844298249970e-01, -2.725035777680074e+00, 5.117262953538248e+02, -1.013530441270863e+03
1, 1.499914726921187e+00, 2.620184072006900e-01, 6.796581787095687e-04, 1.799051768692570e-01, -6.378761780755142e-01, 4.998313317577698e+03, 1.870068619768446e+03, 1.602971192912968e+03, 4.968425214553167e-01, -1.846267712519292e+00, 2.646994952828104e+02, -9.385249792573911e+02
2, 1.499871501927618e+00, 2.622549936951402e-01, 7.088327399599446e-04, 5.084097245467079e-02, -5.650318982001689e-01, 5.182168326028135e+03, 1.982057233100566e+03, 1.629037735063023e+03, 4.045106492408964e-01, -1.006279243942470e+00, 7.172492125228831e+01, -7.971300792794901e+02
3, 1.499870577636732e+00, 2.625090696092818e-01, 7.321463290668171e-04, -3.538626029024504e-02, -4.571616536058324e-01, 5.327258975846102e+03, 2.073469999101856e+03, 1.649903672141332e+03, 3.145249433509822e-01, -3.206232023404962e-01, -4.833222388118485e+01, -6.244129560664791e+02
4, 1.499912174383872e+00, 2.627804486938995e-01, 7.473520448228573e-04, -7.640729953383266e-02, -3.397110903381123e-01, 5.419830189008941e+03, 2.135486402600969e+03, 1.664678251690585e+03, 2.329437017039647e-01, 1.445407304191021e-01, -1.022373593049354e+02, -4.545529682984048e+02
5, 1.499996479620820e+00, 2.630688368115173e-01, 7.558680565105209e-04, -8.254577755855658e-02, -2.316203980306587e-01, 5.470249237920953e+03, 2.172101714130328e+03, 1.674144299975954e+03, 1.621860489591570e-01, 4.191797186419166e-01, -1.092065961083614e+02, -3.064296685587411e+02
6, 1.500123647047339e+00, 2.633738331641135e-01, 7.640644421912380e-04, -6.507304875437607e-02, -1.370324659962549e-01, 5.522953431513585e+03, 2.203157692627549e+03, 1.679864747913278e+03, 9.881642507377604e-02, 6.521200421431235e-01, -8.516696388560497e+01, -1.793467388735739e+02
7, 1.500293795485361e+00, 2.636949320518316e-01, 7.679350190635180e-04, -3.296707167703962e-02, -5.655820311633730e-02, 5.548040199514823e+03, 2.218099928556586e+03, 1.682733565291782e+03, 4.239278565629712e-02, 7.641966676293497e-01, -4.292950687057133e+01, -7.364972518808810e+01
8, 1.500507007509821e+00, 2.640315251519312e-01, 7.689969247362328e-04, 2.958633501762432e-03, 4.335074412023306e-03, 5.555517833318628e+03, 2.222199969090126e+03, 1.683516032174762e+03, 3.393238592376875e-03, 7.949496760504559e-01, 3.847393151509999e+00, 5.637310465851661e+00
9, 1.500763327854264e+00, 2.643829043055207e-01, 7.696782757184427e-04, 3.830462752139432e-02, 4.940034631182625e-02, 5.561709234841899e+03, 2.223668298588194e+03, 1.683137121004333e+03, 4.038346379778053e-02, 8.059631158078597e-01, 4.976706336896353e+01, 6.418311113915013e+01
10, 1.501062761613198e+00, 2.647482647979618e-01, 7.673414645140235e-04, 7.270850176233661e-02, 8.424550850492224e-02, 5.547002216342586e+03, 2.215573162634581e+03, 1.682116812737161e+03, 7.213169299187068e-02, 7.452442565392784e-01, 9.475377667540057e+01, 1.097888129351605e+02
11, 1.501405272266759e+00, 2.651267091172244e-01, 7.660023644612123e-04, 1.056188175516247e-01, 1.115624036228332e-01, 5.540037454884749e+03, 2.209852728253884e+03, 1.680706749035299e+03, 9.979507422694782e-02, 7.023372254397358e-01, 1.378831482144503e+02, 1.456423750092515e+02
12, 1.501790779556503e+00, 2.655172511729136e-01, 7.642529778681698e-04, 1.376174898420038e-01, 1.339359321380729e-01, 5.530485349258876e+03, 2.202543563651894e+03, 1.678982191598072e+03, 1.250936744830872e-01, 6.475136697413209e-01, 1.800679798800106e+02, 1.752507821581249e+02
13, 1.502219157244037e+00, 2.659188209571512e-01, 7.618073227335029e-04, 1.680642632685115e-01, 1.519141259879439e-01, 5.516098435304586e+03, 2.192965232634584e+03, 1.677047354388078e+03, 1.481343113369750e-01, 5.756698691676793e-01, 2.206125594401829e+02, 1.994127930443730e+02
14, 1.502690230786724e+00, 2.663302696269882e-01, 7.589068481083587e-04, 1.958237342725365e-01, 1.653819665238252e-01, 5.498371988066216e+03, 2.182034910151002e+03, 1.675066083322476e+03, 1.683400307978150e-01, 4.936852408125923e-01, 2.580339533905171e+02, 2.179212994797110e+02
15, 1.503203774966891e+00, 2.667503749865173e-01, 7.567572879637323e-04, 2.210604565097906e-01, 1.752261242684419e-01, 5.485974632192734e+03, 2.173360145909205e+03, 1.673145883078625e+03, 1.858967278806001e-01, 4.286187870551697e-01, 2.921153981940706e+02, 2.315486445329610e+02
16, 1.503759511512609e+00, 2.671778473453641e-01, 7.552283882005173e-04, 2.452567393847282e-01, 1.830838511029603e-01, 5.478110318732353e+03, 2.166438236662616e+03, 1.671193463350824e+03, 2.022205290558223e-01, 3.766999019590024e-01, 3.247451277210347e+02, 2.424218341940167e+02
17, 1.504357106749543e+00, 2.676113357287063e-01, 7.529780995599580e-04, 2.686649466223164e-01, 1.893530212418171e-01, 5.465228595130168e+03, 2.157395936745956e+03, 1.669191766830817e+03, 2.179530567086310e-01, 3.088766882106327e-01, 3.568031351500459e+02, 2.514721495252988e+02
18, 1.504996169324123e+00, 2.680494344124394e-01, 7.505330924451173e-04, 2.908643442814925e-01, 1.938933565956458e-01, 5.450961263999408e+03, 2.147821863995745e+03, 1.667197826733238e+03, 2.326921162877494e-01, 2.370648274490138e-01, 3.875436635763825e+02, 2.583408493874296e+02
19, 1.505676248038806e+00, 2.684906897555148e-01, 7.481711611788583e-04, 3.117573784811799e-01, 1.967981665506328e-01, 5.437157425877899e+03, 2.138528455350345e+03, 1.665224499377751e+03, 2.463333150319281e-01, 1.673581326017710e-01, 4.166925894202583e+02, 2.630389632240664e+02
20, 1.506396829840083e+00, 2.689336072998422e-01, 7.459321563458314e-04, 3.314389837622007e-01, 1.982626235599621e-01, 5.424172700720098e+03, 2.129676202493655e+03, 1.663309127886656e+03, 2.589736175264662e-01, 1.009603971597409e-01, 4.443285906668138e+02, 2.657917638665828e+02
21, 1.507157337999417e+00, 2.693766591064518e-01, 7.439394286867479e-04, 3.498552723617950e-01, 1.983664833152233e-01, 5.412849214586107e+03, 2.121655507670174e+03, 1.661483430608704e+03, 2.705510246293799e-01, 4.079989546911222e-02, 4.702738675638998e+02, 2.666433256070232e+02
22, 1.507957130526224e+00, 2.698182912948401e-01, 7.418477221327805e-04, 3.669679113449418e-01, 1.971917552612615e-01, 5.400733910062650e+03, 2.113504976253721e+03, 1.659767397483933e+03, 2.811831652763149e-01, -2.033446631006246e-02, 4.946674369908756e+02, 2.658116340835335e+02
23, 1.508795498850547e+00, 2.702569317505931e-01, 7.399997041589623e-04, 3.829727005076662e-01, 1.949348246483850e-01, 5.390166594233237e+03, 2.106156435254845e+03, 1.658127039942545e+03, 2.909178285906275e-01, -7.545337095810160e-02, 5.175308832628915e+02, 2.634255440276640e+02
24, 1.509671666810981e+00, 2.706909979644781e-01, 7.383357633988555e-04, 3.986950981604996e-01, 1.920673998818101e-01, 5.380839180971140e+03, 2.099284560115902e+03, 1.656441599576329e+03, 3.004225827168159e-01, -1.269969672440305e-01, 5.399915836734581e+02, 2.601355770681442e+02
25, 1.510584789980868e+00, 2.711189049642545e-01, 7.363683767377860e-04, 4.137600521373131e-01, 1.884239121301851e-01, 5.369283881456940e+03, 2.091572914843053e+03, 1.654766049902830e+03, 3.096158253432193e-01, -1.848393934533603e-01, 5.618927498901128e+02, 2.558826778587765e+02
26, 1.511533955362614e+00, 2.715390732984825e-01, 7.345925114712812e-04, 4.276340731710765e-01, 1.838104842689764e-01, 5.359019756767520e+03, 2.084620861243667e+03, 1.653252945421791e+03, 3.178965039050061e-01, -2.369843810789712e-01, 5.821378063255615e+02, 2.502210155952052e+02
27, 1.512518181476344e+00, 2.719499370296595e-01, 7.331568166334887e-04, 4.408884899468101e-01, 1.785335663332258e-01, 5.351163453215412e+03, 2.078744098815065e+03, 1.651820588313092e+03, 3.256401456935636e-01, -2.810639756530329e-01, 6.013563264286119e+02, 2.435134779937214e+02
28, 1.513536418864823e+00, 2.723499516921205e-01, 7.315362061052244e-04, 4.536791981501607e-01, 1.726841334847861e-01, 5.341966351062497e+03, 2.072361943850029e+03, 1.650397302667463e+03, 3.332069366845049e-01, -3.289343476113135e-01, 6.201732660172712e+02, 2.360568513815256e+02
29, 1.514587551031816e+00, 2.727376021683819e-01, 7.299632368378735e-04, 4.656194664105608e-01, 1.661451930103924e-01, 5.332939684240622e+03, 2.066212032141801e+03, 1.649045430033957e+03, 3.402152065240251e-01, -3.750627419540224e-01, 6.378670087929044e+02, 2.276076172412689e+02
30, 1.515670395825689e+00, 2.731114104360512e-01, 7.285416256162546e-04, 4.767382263445561e-01, 1.589754532553153e-01, 5.324814900512181e+03, 2.060594978332077e+03, 1.647771507678020e+03, 3.466477144829151e-01, -4.171943505806115e-01, 6.543733529862421e+02, 2.182105286308686e+02
31, 1.516783707274233e+00, 2.734699431361594e-01, 7.272132016783065e-04, 4.871130775195332e-01, 1.512460521120514e-01, 5.317198349214016e+03, 2.055330991011619e+03, 1.646564465688770e+03, 3.525980501468136e-01, -4.566777276522296e-01, 6.698353060633996e+02, 2.079803443653067e+02
32, 1.517926177870372e+00, 2.738118189129102e-01, 7.259590552217212e-04, 4.967267673693229e-01, 1.429939359553467e-01, 5.309959047119632e+03, 2.050374853940422e+03, 1.645431709937603e+03, 3.580709728442049e-01, -4.938520247938958e-01, 6.842352386080693e+02, 1.969724530974736e+02
33, 1.519096441301751e+00, 2.741357154744696e-01, 7.248051911530334e-04, 5.055972346986579e-01, 1.342672663396703e-01, 5.303299093687446e+03, 2.045807964577073e+03, 1.644380402370012e+03, 3.630743743972709e-01, -5.281067073758011e-01, 6.975629325920590e+02, 1.852460053798393e+02
34, 1.520293075610191e+00, 2.744403763246619e-01, 7.237480167196035e-04, 5.137580691900653e-01, 1.251167365255750e-01, 5.297209669355279e+03, 2.041618978593534e+03, 1.643410395924154e+03, 3.676416699611089e-01, -5.595268653410330e-01, 7.098576539369045e+02, 1.728733393877445e+02
35, 1.521514606759877e+00, 2.747246171163975e-01, 7.227912737744943e-04, 5.211353897635020e-01, 1.155666018128489e-01, 5.291705384238664e+03, 2.037838442030118e+03, 1.642538554090250e+03, 3.717231763964653e-01, -5.878833832388389e-01, 7.210039864511322e+02, 1.598893152228410e+02
36, 1.522759512585962e+00, 2.749873315794273e-01, 7.219553450526707e-04, 5.276714179521463e-01, 1.056510518184892e-01, 5.286925787216862e+03, 2.034543948516992e+03, 1.641781893991042e+03, 3.752718669203388e-01, -6.125942576615780e-01, 7.308920441798928e+02, 1.463401476870864e+02
37, 1.524026227088239e+00, 2.752274969776755e-01, 7.212198559819924e-04, 5.333814006123522e-01, 9.542248226042446e-02, 5.282747608747411e+03, 2.031681105208794e+03, 1.641143621607426e+03, 3.783147410067499e-01, -6.340674708274311e-01, 7.395545147410221e+02, 1.323070648554177e+02
38, 1.525313145027898e+00, 2.754441790550057e-01, 7.206087741697563e-04, 5.383608520933435e-01, 8.494478316208538e-02, 5.279394743943551e+03, 2.029314265498317e+03, 1.640621826038902e+03, 3.809122050659656e-01, -6.518203298424291e-01, 7.470917249288447e+02, 1.178791963225175e+02
39, 1.526618626779204e+00, 2.756365364328333e-01, 7.201526871315354e-04, 5.426110374287961e-01, 7.426106086207054e-02, 5.277105438653599e+03, 2.027542772859854e+03, 1.640227774436776e+03, 3.830512777088537e-01, -6.651076931216239e-01, 7.534666566198462e+02, 1.031184944374259e+02
40, 1.527941003382650e+00, 2.758038244285018e-01, 7.198654266694109e-04, 5.459363540804232e-01, 6.339163915265593e-02, 5.275902979407026e+03, 2.026438560829235e+03, 1.639988668740659e+03, 3.845862996045021e-01, -6.733900116983639e-01, 7.583866843088958e+02, 8.806040240875151e+01
41, 1.529278581741687e+00, 2.759453982697190e-01, 7.198375240989679e-04, 5.482248591607217e-01, 5.238106730133930e-02, 5.276321718384863e+03, 2.026261262481073e+03, 1.639908746091656e+03, 3.853923810561775e-01, -6.747198662569932e-01, 7.615952778329298e+02, 7.276790323886702e+01
42, 1.530629649902027e+00, 2.760607156874946e-01, 7.199343706891426e-04, 5.489050334762809e-01, 4.124838836190404e-02, 5.277233265522646e+03, 2.026719476578445e+03, 1.640058938581300e+03, 3.851347509910285e-01, -6.712829582850121e-01, 7.624375996257169e+02, 5.729465079215465e+01
43, 1.531992482350594e+00, 2.761493388777744e-01, 7.203020116321988e-04, 5.477299477065533e-01, 3.072935413031042e-02, 5.279754099726200e+03, 2.028338805423883e+03, 1.640531577312719e+03, 3.835812022632012e-01, -6.591369238219558e-01, 7.604170734792222e+02, 4.266176358535767e+01
44, 1.533330043911542e+00, 2.762122161927295e-01, 7.210463774931941e-04, 5.458715344016614e-01, 2.245175799937136e-02, 5.285012347061966e+03, 2.031214199470408e+03, 1.641161222689742e+03, 3.815346652126019e-01, -6.375695718400874e-01, 7.570546797550672e+02, 3.113774467244069e+01
45, 1.534669193503334e+00, 2.762594323104744e-01, 7.217581290416189e-04, 5.444176735166966e-01, 1.612276244209404e-02, 5.290184659964485e+03, 2.033871659460573e+03, 1.641687846800646e+03, 3.799276875751176e-01, -6.176368690319610e-01, 7.542937884739829e+02, 2.233817922286864e+01
