"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.941274768,      -2.536072185,      -15.24785908,       2.066813987
          0,           0,           1,      -4.933217831,      -1.064840058,      -1.695555893,       2.067634746
          0,           0,           2,      -5.041335704,      -1.065517692,      -1.533351984,       2.004441814
          0,           0,           3,        -5.0905523,      -1.082233431,       -1.43439173,        1.94392622
          0,           0,           4,      -5.119028452,      -1.099975487,      -1.396502344,       1.906435183
          0,           0,           5,      -5.125801565,      -1.119860537,      -1.393688162,       1.896780664
          0,           0,           6,      -5.137874379,      -1.140785714,      -1.408040459,       1.880660541
          0,           0,           7,      -5.142938273,      -1.165887857,      -1.432102548,       1.874583919
          0,           0,           8,      -5.148706143,       -1.19294587,      -1.456815018,       1.867606211
          0,           0,           9,        -5.1672569,      -1.221765804,      -1.476550249,       1.851073871
          0,           0,          10,      -5.188864755,      -1.252736082,       -1.48959773,       1.831574147
          0,           0,          11,      -5.205240537,      -1.283727053,      -1.498587032,       1.815912544
          0,           0,          12,      -5.229306459,      -1.309885916,      -1.506738291,       1.792180524
          0,           0,          13,      -5.245937065,       -1.33670373,      -1.515515693,        1.77552611
          0,           0,          14,      -5.257873714,      -1.362667974,       -1.52764208,       1.763411683
          0,           0,          15,      -5.271817434,      -1.384547971,      -1.543578132,       1.749552551
          0,           0,          16,      -5.275580698,      -1.405669744,      -1.564294917,       1.746059948
          0,           0,          17,      -5.282722417,      -1.426534963,      -1.586692065,       1.738649307
          0,           0,          18,      -5.283232228,      -1.446844055,      -1.612011481,       1.737942674
          0,           0,          19,      -5.292645761,      -1.462124363,      -1.638166321,       1.728418592
          0,           0,          20,      -5.309750653,      -1.479283688,      -1.661205435,       1.711331631
          0,           0,          21,      -5.336521563,      -1.491814052,      -1.681554571,       1.684579731
          0,           0,          22,      -5.353193107,      -1.509116207,       -1.69463004,       1.666979043
          0,           0,          23,      -5.382950439,      -1.525173124,      -1.708957291,       1.636751301
          0,           0,          24,      -5.380553742,      -1.549080765,      -1.719486501,       1.636387777
          0,           0,          25,       -5.38060824,      -1.567945429,      -1.735303753,       1.633988067
          0,           0,          26,      -5.390198982,      -1.592001817,      -1.748599276,       1.621890989
          0,           0,          27,      -5.398880703,      -1.614172844,       -1.76413451,       1.610895508
          0,           0,          28,       -5.41846061,      -1.638661164,      -1.779310536,       1.590153531
          0,           0,          29,      -5.440596599,      -1.658845804,      -1.796476234,       1.566924171
          0,           0,          30,      -5.461546771,      -1.679050391,      -1.813662186,       1.545725507
          0,           0,          31,      -5.465494836,      -1.696100002,       -1.82863293,       1.543535121
          0,           0,          32,      -5.481507083,       -1.71046088,      -1.844089606,       1.528015502
          0,           0,          33,      -5.500151609,      -1.726729317,      -1.854608185,       1.510029553
          0,           0,          34,      -5.517550201,      -1.742579377,      -1.862400594,       1.492713892
          0,           0,          35,       -5.54632749,      -1.760922472,      -1.865145451,       1.463231513
          0,           0,          36,      -5.554370935,      -1.781743192,      -1.863542595,       1.453347673
          0,           0,          37,      -5.549694655,       -1.80391169,      -1.864185049,       1.454525368
          0,           0,          38,      -5.566906299,      -1.825700668,      -1.875400671,       1.434106168
          0,           0,          39,       -5.59025731,      -1.846978817,      -1.895292354,       1.407669656
          0,           0,          40,      -5.598676638,      -1.866224511,      -1.923216323,       1.396735112
          0,           0,          41,       -5.60427606,      -1.883195006,      -1.952632449,       1.389480979
          0,           0,          42,      -5.609428286,      -1.897338607,      -1.975698381,       1.383577118
          0,           0,          43,      -5.619295713,      -1.909034475,      -1.987280374,       1.373333658
          0,           0,          44,      -5.630583322,       -1.91832555,      -1.987576654,       1.362111986
          0,           0,          45,      -5.640005206,      -1.924597573,       -1.98256729,       1.352895436
          0,           0,          46,      -5.649908224,      -1.929820669,      -1.977101375,       1.342417685
          0,           0,          47,      -5.661000021,       -1.93381829,      -1.974938671,       1.330996407
          0,           0,          48,      -5.677386156,      -1.938326881,      -1.976383902,       1.313508884
          0,           0,          49,      -5.681601879,      -1.942788662,      -1.979431317,       1.308493277
          0,           0,          50,       -5.68774771,      -1.947182054,      -1.985669676,       1.300831133
          0,           0,          51,      -5.703575319,      -1.953103242,      -1.991900507,       1.282169115
          0,           0,          52,      -5.704334767,      -1.959071751,      -1.997969385,       1.279850259
          0,           0,          53,      -5.705790203,      -1.965464516,      -2.005101711,       1.277067293
