"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, 6.666666666666666e-01, 4.363323129985824e-02, 7.683110242643297e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.601814897601693e+03, 2.240725959040677e+03, 1.699066601671328e+03, 0.000000000000000e+00, 9.340907840865983e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.375484733296066e-07, 5.018068659822241e-04, -2.404325152543211e-03, -0.000000000000000e+00, 0.000000000000000e+00
1, 6.666409855899192e-01, 4.386685809309609e-02, 7.727731758866743e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.629168697159833e+03, 2.251667478863933e+03, 1.697504518564544e+03, 0.000000000000000e+00, 1.016160298173450e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.370827137622421e-07, 1.355662942365323e-05, -1.034960754258043e-03, -0.000000000000000e+00, 0.000000000000000e+00
2, 6.666604665428680e-01, 4.410657054979675e-02, 7.722047676109144e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.618165716337840e+03, 2.247266286535136e+03, 1.695433578728585e+03, 0.000000000000000e+00, 9.831480913080570e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.364648667977908e-07, 7.031585696607283e-05, 4.046246887776763e-04, -0.000000000000000e+00, 0.000000000000000e+00
3, 6.667253334319114e-01, 4.435222826118874e-02, 7.714173087496725e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.616072382402419e+03, 2.246428952960967e+03, 1.696531903659155e+03, 0.000000000000000e+00, 9.768674684448097e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.367925942201324e-07, 5.224974938276525e-04, 1.481556578379769e-03, -0.000000000000000e+00, 0.000000000000000e+00
4, 6.668357508798048e-01, 4.460359429736167e-02, 7.666842699270542e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.584571330773259e+03, 2.233828532309304e+03, 1.697430506988040e+03, 0.000000000000000e+00, 8.823549677249379e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.370606401991093e-07, 1.156280008219056e-03, 2.204638036656847e-03, -0.000000000000000e+00, 0.000000000000000e+00
5, 6.669918238226858e-01, 4.486033602723927e-02, 7.607074691012499e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.545461883772129e+03, 2.218184753508851e+03, 1.698786330765499e+03, 0.000000000000000e+00, 7.650150236061599e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.374649235178630e-07, 1.781135714151539e-03, 2.580433711386561e-03, -0.000000000000000e+00, 0.000000000000000e+00
6, 6.671935969889624e-01, 4.512202652923602e-02, 7.531147084623708e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.500270740146717e+03, 2.200108296058686e+03, 1.701929834626100e+03, 0.000000000000000e+00, 6.294281852774062e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.384015796907389e-07, 2.250623189989461e-03, 2.644305807985579e-03, -0.000000000000000e+00, 0.000000000000000e+00
7, 6.674410542670528e-01, 4.538814658142127e-02, 7.464189547991639e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.464762437249889e+03, 2.185904974899955e+03, 1.706111229035944e+03, 0.000000000000000e+00, 5.228927418704489e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.396460173662206e-07, 2.537075700746782e-03, 2.516140143322502e-03, -0.000000000000000e+00, 0.000000000000000e+00
8, 6.677341179727101e-01, 4.565808721718293e-02, 7.431304916170490e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.449525843236478e+03, 2.179810337294591e+03, 1.708883076303212e+03, 0.000000000000000e+00, 4.771784393889436e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.404700305437661e-07, 2.651482466105280e-03, 2.279584806226260e-03, -0.000000000000000e+00, 0.000000000000000e+00
9, 6.680726480302120e-01, 4.593115282966555e-02, 7.339659091702367e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.390707981023346e+03, 2.156283192409338e+03, 1.711546219510727e+03, 0.000000000000000e+00, 3.007074024787281e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.412610357297691e-07, 2.675319409910012e-03, 2.031435396971431e-03, -0.000000000000000e+00, 0.000000000000000e+00
10, 6.684564410850005e-01, 4.620656480566145e-02, 7.295260221256409e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.366501053712870e+03, 2.146600421485148e+03, 1.714230211872411e+03, 0.000000000000000e+00, 2.280794387589569e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.420575485613584e-07, 2.641221693978231e-03, 1.795242175348429e-03, -0.000000000000000e+00, 0.000000000000000e+00
11, 6.688852295683901e-01, 4.648346566715750e-02, 7.241856402594544e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.333881127622730e+03, 2.133552451049091e+03, 1.716374830710050e+03, 0.000000000000000e+00, 1.302099827048983e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.426935015311637e-07, 2.567816270654780e-03, 1.577731343468594e-03, -0.000000000000000e+00, 0.000000000000000e+00
12, 6.693586807377031e-01, 4.676092369638785e-02, 7.206594121497974e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.311581202229154e+03, 2.124632480891661e+03, 1.717562208881040e+03, 0.000000000000000e+00, 6.330359051122986e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.430454117931894e-07, 2.507294449301970e-03, 1.402615947587110e-03, -0.000000000000000e+00, 0.000000000000000e+00
13, 6.698763957175955e-01, 4.703793801800995e-02, 7.193968455528849e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.304104538996841e+03, 2.121641815598736e+03, 1.718154680543169e+03, 0.000000000000000e+00, 4.087138261401672e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.432209560463892e-07, 2.386127088156133e-03, 1.221599263397784e-03, -0.000000000000000e+00, 0.000000000000000e+00
14, 6.704379085703952e-01, 4.731344410990607e-02, 7.128609638734410e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.258780439336833e+03, 2.103512175734733e+03, 1.719091207446464e+03, 0.000000000000000e+00, -9.511436326434500e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.434983729798982e-07, 2.291318892820875e-03, 1.077362964140845e-03, -0.000000000000000e+00, 0.000000000000000e+00
15, 6.710426854249539e-01, 4.758631971210922e-02, 7.109614598700088e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.247424177208032e+03, 2.098969670883213e+03, 1.719961900145946e+03, 0.000000000000000e+00, -1.291865188627895e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.437562139925961e-07, 2.174099441449693e-03, 9.409298998646520e-04, -0.000000000000000e+00, 0.000000000000000e+00
16, 6.716901236948010e-01, 4.785539110145240e-02, 7.046252951202599e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.204187110366857e+03, 2.081674844146742e+03, 1.721128858955064e+03, 0.000000000000000e+00, -2.589105470971094e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.441016766228386e-07, 2.100885523186965e-03, 8.377983031751057e-04, -0.000000000000000e+00, 0.000000000000000e+00
17, 6.723795514172627e-01, 4.811943969773783e-02, 7.006668238161698e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.176489087238837e+03, 2.070595634895534e+03, 1.721640466794874e+03, 0.000000000000000e+00, -3.420128340189467e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.442530906784046e-07, 1.869567310545782e-03, 6.869738221532286e-04, -0.000000000000000e+00, 0.000000000000000e+00
18, 6.731102267456488e-01, 4.837720896550544e-02, 6.989827830532711e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.164679063047504e+03, 2.065871625219001e+03, 1.721851028774970e+03, 0.000000000000000e+00, -3.774464104285620e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.443154008337328e-07, 1.829924923812840e-03, 6.189631992169930e-04, -0.000000000000000e+00, 0.000000000000000e+00
19, 6.738813376266107e-01, 4.862741157384148e-02, 6.968019676738357e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.149403309137488e+03, 2.059761323654995e+03, 1.722131271798963e+03, 0.000000000000000e+00, -4.232782042179660e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.443983247167921e-07, 1.740944139270023e-03, 5.409887545187386e-04, -0.000000000000000e+00, 0.000000000000000e+00
20, 6.746920016943005e-01, 4.886873677509895e-02, 6.952092159564941e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.138725664916525e+03, 2.055490265966610e+03, 1.722497602814793e+03, 0.000000000000000e+00, -4.553143047583725e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.445067108320032e-07, 1.698764483383839e-03, 4.834997449184088e-04, -0.000000000000000e+00, 0.000000000000000e+00
21, 6.755412664120225e-01, 4.909985796189559e-02, 6.943604786100525e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.132924377907342e+03, 2.053169751162936e+03, 1.722656097897174e+03, 0.000000000000000e+00, -4.727198869302406e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.445536007361525e-07, 1.647570856271283e-03, 4.277188855362976e-04, -0.000000000000000e+00, 0.000000000000000e+00
22, 6.764281094906236e-01, 4.931944036031207e-02, 6.922272450029357e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.117767940852576e+03, 2.047107176341030e+03, 1.722862485923108e+03, 0.000000000000000e+00, -5.181936947545902e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.446146559479287e-07, 1.538222116179319e-03, 3.622471152750473e-04, -0.000000000000000e+00, 0.000000000000000e+00
