"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.946262086,      -5.516247615,      -15.30933101,       2.060303101
          0,           0,           1,      -5.094076801,      -1.903687292,      -2.011336726,       1.912358559
          0,           0,           2,      -5.134228395,      -1.943486452,      -2.066749887,       1.870843719
          0,           0,           3,       -5.17456516,      -1.983267795,      -2.114152233,       1.829988854
          0,           0,           4,      -5.213973604,      -2.021618185,      -2.141914886,       1.790421653
          0,           0,           5,      -5.254045785,      -2.059537512,      -2.152995932,       1.750490133
          0,           0,           6,      -5.292184922,      -2.098728833,      -2.154185431,       1.713164435
          0,           0,           7,      -5.326259868,      -2.138836251,      -2.151712685,       1.680334867
          0,           0,           8,      -5.348769939,      -2.177803439,      -2.150362131,       1.658446487
          0,           0,           9,      -5.372483084,      -2.211068666,      -2.153178992,       1.635037926
          0,           0,          10,      -5.393275458,      -2.244121564,       -2.16209921,       1.614194248
          0,           0,          11,      -5.414529169,      -2.281617691,      -2.171656571,       1.592770366
          0,           0,          12,      -5.432694108,      -2.316016042,      -2.180303194,       1.574387855
          0,           0,          13,      -5.446066637,       -2.34103383,      -2.189767596,       1.560806082
          0,           0,          14,      -5.460265453,      -2.362142654,      -2.200930812,       1.546059054
          0,           0,          15,      -5.482077612,      -2.384611741,      -2.219855361,        1.52341976
          0,           0,          16,      -5.520921333,      -2.413840176,      -2.257949884,       1.483636436
          0,           0,          17,      -5.576733961,       -2.44797457,      -2.316052667,       1.427543602
          0,           0,          18,      -5.631619978,      -2.478234469,       -2.37295706,       1.373446964
          0,           0,          19,      -5.660843322,      -2.494362637,      -2.397267538,       1.345301586
          0,           0,          20,      -5.667021675,      -2.485755455,      -2.381674837,       1.339221781
          0,           0,          21,      -5.656716598,      -2.450469203,       -2.31548006,       1.348794217
          0,           0,          22,      -5.596508728,      -2.403447505,      -2.192954831,       1.407700796
          0,           0,          23,      -5.476349063,      -2.372626057,       -2.08902586,       1.526868012
          0,           0,          24,      -5.413913911,       -2.38899829,      -2.091543062,       1.588302465
          0,           0,          25,      -5.447653694,      -2.449231732,        -2.2022054,       1.552117334
          0,           0,          26,      -5.520822937,      -2.506241187,      -2.352979844,       1.475623825
          0,           0,          27,      -5.558437336,      -2.516328397,      -2.437414407,       1.438299257
          0,           0,          28,      -5.559238966,      -2.504484119,      -2.448408166,       1.439674789
          0,           0,          29,      -5.559736171,      -2.500516049,       -2.45008414,       1.440687975
          0,           0,          30,      -5.575972823,      -2.505444947,      -2.443798657,       1.424940846
          0,           0,          31,      -5.610465146,      -2.516550501,      -2.451604515,       1.390383159
          0,           0,          32,      -5.643397166,      -2.524751123,      -2.465385998,       1.357590214
          0,           0,          33,      -5.666860568,      -2.533723392,      -2.473594756,       1.334473329
          0,           0,          34,      -5.679614302,      -2.544301772,      -2.475215702,       1.321956409
          0,           0,          35,      -5.687386059,      -2.557952665,      -2.472301348,       1.314281654
          0,           0,          36,      -5.695523773,      -2.570361584,      -2.467816006,       1.306452348
          0,           0,          37,      -5.707381174,       -2.58292176,      -2.469859945,       1.294624857
          0,           0,          38,      -5.722608151,      -2.595466858,       -2.47972568,       1.279185203
          0,           0,          39,      -5.738096562,      -2.606251315,      -2.496990202,        1.26348453
          0,           0,          40,       -5.74814704,      -2.615235598,      -2.515868448,       1.253124363
          0,           0,          41,        -5.7584544,      -2.623531466,      -2.535165801,       1.242240148
          0,           0,          42,      -5.767184803,      -2.630852864,      -2.549088748,        1.23304125
          0,           0,          43,      -5.775202761,      -2.636646526,      -2.555375896,       1.224752596
          0,           0,          44,      -5.783513959,      -2.640923666,      -2.555490033,       1.216464738
          0,           0,          45,      -5.795153455,      -2.644969783,       -2.55202501,       1.204743565
          0,           0,          46,       -5.80616168,      -2.645137814,      -2.548032601,       1.193982075
          0,           0,          47,      -5.817781893,      -2.642785666,      -2.546760384,       1.182886595
          0,           0,          48,      -5.831012242,      -2.636969096,      -2.549141981,       1.170594998
          0,           0,          49,      -5.844740169,       -2.62994756,      -2.556446297,       1.158144069
          0,           0,          50,      -5.859266722,      -2.622808447,      -2.568124044,       1.145274146
          0,           0,          51,      -5.868033236,      -2.616621666,      -2.582637692,       1.138695462
          0,           0,          52,      -5.871517499,      -2.615485616,      -2.598003442,       1.137404728
          0,           0,          53,      -5.868837107,      -2.621739653,      -2.610635218,       1.141641501
          0,           0,          54,      -5.862650336,       -2.63401654,      -2.620404292,       1.148625466
          0,           0,          55,      -5.854781453,      -2.651867013,      -2.624636165,       1.156460266
          0,           0,          56,      -5.849316993,        -2.6730547,      -2.625313505,       1.161390854
          0,           0,          57,      -5.846342042,      -2.690957038,       -2.62364235,       1.163775194
          0,           0,          58,      -5.846851738,      -2.702442921,      -2.622055109,       1.162672386
          0,           0,          59,      -5.854323074,      -2.707064797,      -2.622398472,       1.154881983
          0,           0,          60,      -5.865713684,      -2.703049867,      -2.622893882,       1.143647449
          0,           0,          61,      -5.882104202,       -2.69721773,      -2.626799352,       1.127738576
          0,           0,          62,      -5.904650628,      -2.689369845,      -2.634671041,       1.106117665
          0,           0,          63,      -5.931225516,       -2.68283259,      -2.643867093,       1.080739254
          0,           0,          64,      -5.960466545,      -2.679311365,      -2.653989777,       1.052924561
          0,           0,          65,      -5.990946794,      -2.679215703,      -2.665539478,       1.024024136
          0,           0,          66,      -6.021236204,      -2.682179886,       -2.67666054,      0.9950108415
          0,           0,          67,      -6.047114394,      -2.686821015,      -2.686040334,      0.9703317522
          0,           0,          68,      -6.063916924,      -2.693584463,      -2.691143529,      0.9542174156
          0,           0,          69,      -6.068258673,       -2.70313682,      -2.691504817,      0.9495851602
          0,           0,          70,      -6.066191433,      -2.714607849,      -2.690355171,      0.9511073965
          0,           0,          71,      -6.060347062,      -2.728309613,      -2.688079758,      0.9562405728
          0,           0,          72,      -6.054195245,      -2.743303305,      -2.684943775,      0.9618695836
          0,           0,          73,      -6.049550906,      -2.758782573,      -2.683319451,      0.9659561633
          0,           0,          74,      -6.047915203,      -2.773216865,      -2.684460041,      0.9672634565
          0,           0,          75,      -6.048315107,      -2.782762504,      -2.689670044,      0.9670023833
          0,           0,          76,      -6.052873379,      -2.793315173,      -2.694645934,      0.9628637498
          0,           0,          77,        -6.0564136,      -2.803208673,      -2.698515861,      0.9594974087
          0,           0,          78,       -6.06216771,      -2.812767426,      -2.703572736,      0.9538607034
          0,           0,          79,      -6.070475782,       -2.82334675,      -2.708802597,      0.9456132559
          0,           0,          80,      -6.079653311,      -2.832948465,      -2.713380011,      0.9362817775
          0,           0,          81,      -6.087462483,      -2.841596115,      -2.716390431,      0.9279232538
          0,           0,          82,      -6.095224385,      -2.848787321,      -2.718529629,      0.9195490476
          0,           0,          83,      -6.106072943,       -2.85516492,      -2.720407534,      0.9081216138
          0,           0,          84,      -6.118039328,       -2.86027563,       -2.72151379,       0.895650596
          0,           0,          85,      -6.126541141,      -2.862876903,      -2.724105301,      0.8868505535
          0,           0,          86,      -6.138670706,      -2.868547176,      -2.728679289,      0.8745193683
          0,           0,          87,      -6.151198384,      -2.875002483,       -2.73359427,      0.8616800749
          0,           0,          88,      -6.160098717,      -2.882649344,      -2.738858024,      0.8525381717
          0,           0,          89,      -6.167120097,      -2.890242473,      -2.743935999,      0.8455954573
          0,           0,          90,      -6.171877166,      -2.899942534,      -2.747964214,      0.8409599971
          0,           0,          91,      -6.173848173,      -2.909862337,        -2.7508525,      0.8391540568
          0,           0,          92,      -6.173355179,      -2.919000741,      -2.752295677,      0.8400357431
          0,           0,          93,      -6.170706597,      -2.928259206,      -2.752471469,      0.8430690419
          0,           0,          94,      -6.164961202,      -2.935706023,       -2.75132567,      0.8493839341
          0,           0,          95,      -6.157600578,        -2.9410903,      -2.749684391,      0.8572749795
          0,           0,          96,       -6.15050214,      -2.945047778,      -2.748134549,      0.8649581811
          0,           0,          97,      -6.143106802,      -2.947118649,      -2.747508552,      0.8728091827
          0,           0,          98,      -6.136627227,       -2.94737035,      -2.748204378,      0.8797359433
          0,           0,          99,      -6.132534489,      -2.947335403,      -2.749503492,      0.8840949698
          0,           0,         100,       -6.12992559,      -2.946692053,       -2.75112768,      0.8869162363
          0,           0,         101,        -6.1285857,      -2.945049104,      -2.753498596,      0.8884097923
          0,           0,         102,      -6.129422034,      -2.943643355,      -2.755960428,      0.8877509476
          0,           0,         103,      -6.133003467,       -2.94317989,      -2.758225964,      0.8842549988
          0,           0,         104,      -6.137510754,      -2.942518199,      -2.759747823,      0.8797297443
          0,           0,         105,      -6.143853905,      -2.942031648,      -2.761312782,      0.8734143077
          0,           0,         106,      -6.152731073,      -2.942462762,       -2.76241073,      0.8646293993
          0,           0,         107,       -6.16370956,      -2.943173584,       -2.76331308,      0.8537776638
          0,           0,         108,      -6.175427393,      -2.945015536,      -2.764265859,      0.8421858751
          0,           0,         109,       -6.18870121,       -2.94726219,      -2.765524941,      0.8290420336
          0,           0,         110,      -6.203767155,      -2.950042565,       -2.76714189,      0.8142070399
          0,           0,         111,      -6.221172554,      -2.953609984,      -2.768843229,      0.7970066836
          0,           0,         112,      -6.236263245,      -2.957588121,      -2.769937039,      0.7819639192
          0,           0,         113,      -6.250956723,      -2.961719046,      -2.770841983,      0.7672512959
          0,           0,         114,      -6.263280552,       -2.96703595,      -2.771474873,      0.7545734647
          0,           0,         115,      -6.270950543,      -2.972988334,      -2.771963667,      0.7462828402
          0,           0,         116,      -6.274061793,      -2.980408637,       -2.77153431,      0.7422226957
          0,           0,         117,      -6.272203388,      -2.987024056,      -2.770334504,      0.7431270132
          0,           0,         118,      -6.264760526,      -2.994991531,      -2.768997342,      0.7494027347
          0,           0,         119,       -6.25305593,      -3.003663792,       -2.76753213,      0.7598432977
          0,           0,         120,      -6.238130714,      -3.012841248,      -2.765793021,      0.7739273858
          0,           0,         121,      -6.223486784,       -3.02252572,       -2.76361585,      0.7879213296
          0,           0,         122,      -6.209025284,      -3.033662378,      -2.761558615,      0.8019194832
          0,           0,         123,      -6.195219912,      -3.044627935,      -2.760620273,       0.815369063
          0,           0,         124,       -6.18500947,      -3.054725169,      -2.760119747,      0.8256024097
          0,           0,         125,      -6.176722391,       -3.06285929,      -2.759239928,      0.8339444249
          0,           0,         126,      -6.171673137,      -3.069561753,      -2.758411536,       0.839188278
          0,           0,         127,      -6.168581491,      -3.074653227,      -2.758206088,       0.842456805
          0,           0,         128,      -6.170234511,      -3.080141077,      -2.758215465,      0.8410811029
          0,           0,         129,      -6.173546596,      -3.082716887,      -2.758502728,      0.8379213976
          0,           0,         130,      -6.179494487,      -3.082492848,      -2.759772067,      0.8322492998
          0,           0,         131,      -6.187774523,      -3.081479249,      -2.761353894,      0.8240855803
          0,           0,         132,      -6.199058071,       -3.08096073,       -2.76270825,      0.8129337146
          0,           0,         133,      -6.210897176,      -3.081743029,      -2.763949029,      0.8010954863
          0,           0,         134,       -6.22369279,      -3.080705389,      -2.765537995,      0.7883381631
          0,           0,         135,      -6.235976462,      -3.079897176,      -2.767268501,      0.7760724866
          0,           0,         136,      -6.246691559,      -3.077569221,      -2.769771368,      0.7653360809
          0,           0,         137,      -6.258717604,      -3.078522677,      -2.772485802,      0.7529526726
          0,           0,         138,      -6.264949088,      -3.080234978,      -2.774171617,      0.7464608475
          0,           0,         139,      -6.269096436,      -3.082262497,      -2.775592061,      0.7418231137
          0,           0,         140,      -6.271833753,      -3.085143634,      -2.777611059,      0.7387486179
          0,           0,         141,      -6.269359644,      -3.089064607,      -2.779461711,      0.7406794226
          0,           0,         142,      -6.268099494,      -3.097937597,       -2.78066154,      0.7412489958
          0,           0,         143,      -6.263792376,      -3.107258336,      -2.781766213,      0.7448564002
          0,           0,         144,      -6.260060352,      -3.115356756,      -2.783571402,      0.7480359456
          0,           0,         145,      -6.255036612,      -3.125143462,      -2.784791017,       0.752317064
          0,           0,         146,        -6.2508078,      -3.135314541,      -2.785528794,      0.7559252352
          0,           0,         147,      -6.246047685,      -3.145139314,      -2.786228079,      0.7601731379
          0,           0,         148,      -6.244072347,      -3.155222082,      -2.787421403,      0.7616669937
          0,           0,         149,      -6.243767676,      -3.166069731,      -2.788881888,      0.7612665457
          0,           0,         150,      -6.246405662,      -3.179937306,       -2.79038508,      0.7577761723
          0,           0,         151,      -6.248664958,      -3.192499797,      -2.792041333,      0.7544925082
          0,           0,         152,      -6.253323148,      -3.205087087,      -2.793740747,      0.7490740628
          0,           0,         153,      -6.257857225,      -3.218716541,      -2.795337635,      0.7434903311
          0,           0,         154,      -6.263707179,      -3.227954089,       -2.79713546,      0.7368896046
          0,           0,         155,       -6.26854352,      -3.235071331,      -2.798631225,      0.7314363513
          0,           0,         156,      -6.273149534,      -3.243485616,      -2.800023474,      0.7263856404
          0,           0,         157,      -6.277984602,      -3.251009651,      -2.801178416,      0.7210730435
          0,           0,         158,      -6.282258041,      -3.258391698,      -2.802012229,      0.7165280151
          0,           0,         159,      -6.285610768,      -3.264083966,      -2.802305736,      0.7130167453
          0,           0,         160,      -6.286821224,      -3.268264908,      -2.802523707,      0.7119660823
          0,           0,         161,      -6.288274276,       -3.27306524,      -2.802860959,      0.7106086922
          0,           0,         162,      -6.289318619,       -3.27613565,      -2.802957089,      0.7097924466
          0,           0,         163,      -6.289570892,      -3.277355191,      -2.802832028,      0.7098106086
          0,           0,         164,      -6.289517127,      -3.276803854,      -2.802822748,       0.710395891
          0,           0,         165,      -6.290353886,      -3.276510427,       -2.80250175,      0.7098930515
          0,           0,         166,      -6.291167589,      -3.276811085,      -2.802371306,      0.7095452804
          0,           0,         167,      -6.292612762,      -3.276283285,      -2.802443314,      0.7083763192
          0,           0,         168,       -6.29364843,      -3.274540197,      -2.802403736,      0.7078254317
          0,           0,         169,      -6.293197154,      -3.272235279,      -2.802400357,      0.7087315114
          0,           0,         170,       -6.29342477,      -3.270163444,      -2.802735548,      0.7089753359
          0,           0,         171,      -6.293416457,      -3.267227995,      -2.803132116,      0.7092962081
          0,           0,         172,      -6.293561397,      -3.264335357,      -2.803539247,      0.7095538739
          0,           0,         173,      -6.293020724,      -3.261361268,      -2.803877499,      0.7103310732
          0,           0,         174,       -6.29186795,       -3.25879745,      -2.804429907,      0.7118163601
          0,           0,         175,      -6.291957351,      -3.257225691,      -2.805201779,      0.7119417566
          0,           0,         176,      -6.291960974,      -3.256336579,      -2.805996967,      0.7122396532
          0,           0,         177,      -6.292295108,       -3.25683875,      -2.807058816,      0.7120598497
          0,           0,         178,      -6.292248049,      -3.257295702,      -2.808499098,      0.7124160668
          0,           0,         179,      -6.294020316,      -3.259689018,      -2.810160148,      0.7107894276
          0,           0,         180,      -6.295320541,      -3.262459289,       -2.81171257,      0.7096494269
          0,           0,         181,      -6.296699187,      -3.264870937,      -2.813465898,      0.7082158647
          0,           0,         182,      -6.298983352,      -3.268183227,      -2.815446141,      0.7060721829
          0,           0,         183,      -6.301870288,      -3.272580302,      -2.817817785,      0.7032064918
          0,           0,         184,      -6.305449703,      -3.277646907,      -2.820495983,      0.6996379812
          0,           0,         185,      -6.308586809,      -3.281608442,      -2.823569681,      0.6964557459
          0,           0,         186,      -6.312803415,      -3.285620396,      -2.827079401,      0.6923419471
          0,           0,         187,      -6.316873844,      -3.288292538,       -2.83106639,      0.6883597191
          0,           0,         188,      -6.321542692,       -3.29312822,      -2.835406186,       0.683815433
          0,           0,         189,      -6.325717011,      -3.298408887,      -2.840231024,      0.6795507539
          0,           0,         190,      -6.330588524,      -3.303914038,      -2.845681895,      0.6746213253
          0,           0,         191,      -6.335729704,      -3.308830345,      -2.852001446,      0.6692971182
          0,           0,         192,      -6.341617748,      -3.313906568,      -2.858612316,      0.6634328849
          0,           0,         193,      -6.348532516,      -3.320313016,      -2.865554589,      0.6565140476
          0,           0,         194,      -6.355503291,      -3.327219824,      -2.873762109,      0.6495195278
          0,           0,         195,      -6.362695153,      -3.332069053,      -2.882906763,      0.6421711751
          0,           0,         196,      -6.369971105,       -3.33846021,       -2.89296834,       0.634910521
          0,           0,         197,      -6.378866331,      -3.344787272,      -2.904001492,      0.6260070641
          0,           0,         198,      -6.387097644,      -3.350665599,      -2.916017841,      0.6180254748
          0,           0,         199,      -6.399201776,      -3.356687155,      -2.929114122,      0.6059007854
          0,           0,         200,      -6.408755767,      -3.362748066,      -2.942674628,      0.5963926252
          0,           0,         201,      -6.419221449,       -3.37000095,      -2.957530395,      0.5858009656
