"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
0, 4.166666666666667e-01, 4.363323129985824e-02, 7.693728812582886e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.593875190817275e+03, 2.237550076326910e+03, 1.694316778770868e+03, 0.000000000000000e+00, 9.102693081558332e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.361315068172940e-07, 6.562259330626164e-03, -3.144198741731600e-02, -0.000000000000000e+00, 0.000000000000000e+00
1, 4.166409855899193e-01, 4.386685809309609e-02, 7.740034542813134e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.620459829331086e+03, 2.248183931732434e+03, 1.692184306200586e+03, 0.000000000000000e+00, 9.900311109125502e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.354946368712055e-07, 1.486697299857007e-04, -1.134996989813116e-02, -0.000000000000000e+00, 0.000000000000000e+00
2, 4.166604665428680e-01, 4.410657054979675e-02, 7.763776055991367e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.641902288630955e+03, 2.256760915452382e+03, 1.693445694761812e+03, 0.000000000000000e+00, 1.054364850429319e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.358714080374451e-07, -6.393962175649647e-04, -3.679333605548136e-03, -0.000000000000000e+00, 0.000000000000000e+00
3, 4.167253334319115e-01, 4.435222826118874e-02, 7.751067514302347e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.631332610588004e+03, 2.252533044235201e+03, 1.693044500263338e+03, 0.000000000000000e+00, 1.022652680454697e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.357515897755938e-07, 4.701753622321836e-03, 1.333195678707913e-02, -0.000000000000000e+00, 0.000000000000000e+00
4, 4.168357508798048e-01, 4.460359429736167e-02, 7.704278822573491e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.593483080939254e+03, 2.237393232375701e+03, 1.691878029149145e+03, 0.000000000000000e+00, 9.090928621893616e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.354031299560498e-07, 1.203146596510868e-02, 2.293996896504142e-02, -0.000000000000000e+00, 0.000000000000000e+00
5, 4.169918238226857e-01, 4.486033602723927e-02, 7.642932755745192e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.545483605045129e+03, 2.218193442018051e+03, 1.690822820647517e+03, 0.000000000000000e+00, 7.650801938694968e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.350877936889118e-07, 1.816355248191133e-02, 2.631458275215706e-02, -0.000000000000000e+00, 0.000000000000000e+00
6, 4.171935969889624e-01, 4.512202652923602e-02, 7.576602139471602e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.494370602014936e+03, 2.197748240805974e+03, 1.689904572911613e+03, 0.000000000000000e+00, 6.117260204102786e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.348132983443887e-07, 2.183738754477511e-02, 2.565721839740490e-02, -0.000000000000000e+00, 0.000000000000000e+00
7, 4.174410542670530e-01, 4.538814658142127e-02, 7.516527438870827e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.448301249326459e+03, 2.179320499730583e+03, 1.689128070503464e+03, 0.000000000000000e+00, 4.735042943424613e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.345811114151817e-07, 2.408965694777979e-02, 2.389087281366800e-02, -0.000000000000000e+00, 0.000000000000000e+00
8, 4.177341179727100e-01, 4.565808721718293e-02, 7.460980759292693e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.405495534168529e+03, 2.162198213667411e+03, 1.688333767124592e+03, 0.000000000000000e+00, 3.450744491326723e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.343435409185610e-07, 2.508215100318659e-02, 2.156412160565907e-02, -0.000000000000000e+00, 0.000000000000000e+00
9, 4.180726480302119e-01, 4.593115282966555e-02, 7.412966253967292e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.368742288566054e+03, 2.147496915426421e+03, 1.687715534972520e+03, 0.000000000000000e+00, 2.348038082552079e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.341585895015406e-07, 2.526790279437647e-02, 1.918653599027873e-02, -0.000000000000000e+00, 0.000000000000000e+00
10, 4.184564410850005e-01, 4.620656480566145e-02, 7.369994223597956e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.335788818653409e+03, 2.134315527461363e+03, 1.687136413219356e+03, 0.000000000000000e+00, 1.359336217767922e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.339853045946751e-07, 2.516016708435335e-02, 1.710140167014395e-02, -0.000000000000000e+00, 0.000000000000000e+00
11, 4.188852295683902e-01, 4.648346566715750e-02, 7.329284592504163e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.304360056740738e+03, 2.121744022696295e+03, 1.686514674108578e+03, 0.000000000000000e+00, 4.163801165352882e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.337992312735276e-07, 2.451887129371138e-02, 1.506501543301666e-02, -0.000000000000000e+00, 0.000000000000000e+00
12, 4.193586807377032e-01, 4.676092369638785e-02, 7.296770213671239e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.279672648499229e+03, 2.111869059399691e+03, 1.686145469446894e+03, 0.000000000000000e+00, -3.243153740995751e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.336887182878912e-07, 2.397447764921043e-02, 1.341166160010095e-02, -0.000000000000000e+00, 0.000000000000000e+00
13, 4.198763957175955e-01, 4.703793801800995e-02, 7.263916264063790e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.254382508019363e+03, 2.101753003207744e+03, 1.685658403053549e+03, 0.000000000000000e+00, -1.083094620090391e-01, 0.000000000000000e+00, 0.000000000000000e+00, 8.335429057087343e-07, 2.360502594611852e-02, 1.208480573034049e-02, -0.000000000000000e+00, 0.000000000000000e+00
