"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.943350794,      -2.532597755,      0.1813463865,        2.06432084
          0,           0,           1,      -4.219893311,       -1.37494892,      0.1581430073,       2.780414327
          0,           0,           2,      -3.948772528,      -1.116422296,      0.1395437295,       3.044094473
          0,           0,           3,      -3.806934837,     -0.9614437697,      0.1256356927,         3.1779005
          0,           0,           4,      -3.721600012,     -0.8648798743,        0.11494701,       3.255968716
          0,           0,           5,      -3.671493865,     -0.8126888907,       0.106615869,        3.29944163
          0,           0,           6,      -3.633204795,     -0.7713264078,     0.09940200003,       3.331427483
          0,           0,           7,      -3.609403916,     -0.7456300542,     0.09300718494,       3.349767807
          0,           0,           8,      -3.596317663,     -0.7326516694,     0.08727049045,       3.358611021
          0,           0,           9,      -3.582508292,     -0.7168858338,     0.08148744595,       3.368130482
          0,           0,          10,      -3.581547355,     -0.7173433035,     0.07636784529,       3.366405355
          0,           0,          11,      -3.578241579,     -0.7136318801,     0.07104968926,       3.367188351
          0,           0,          12,      -3.582937537,     -0.7212460624,     0.06611173259,       3.360903658
          0,           0,          13,      -3.585435417,      -0.723370846,      0.0618644065,       3.357219681
          0,           0,          14,      -3.589597196,     -0.7301858237,     0.05740140586,       3.352553952
          0,           0,          15,      -3.591201998,      -0.731900534,     0.05393495946,       3.350181915
          0,           0,          16,       -3.59411582,     -0.7368662541,     0.05026599778,       3.347086375
          0,           0,          17,      -3.596898897,      -0.740764994,     0.04730603912,       3.344316675
          0,           0,          18,      -3.602121854,     -0.7482142913,     0.04465781183,       3.339663901
          0,           0,          19,      -3.605495488,     -0.7528796349,     0.04276522405,       3.336957177
          0,           0,          20,      -3.608734026,     -0.7574466979,      0.0412745039,       3.334476757
          0,           0,          21,      -3.612617034,     -0.7640040751,     0.04019618868,       3.332525693
          0,           0,          22,      -3.614833602,     -0.7684263477,      0.0397040141,       3.331739336
          0,           0,          23,      -3.615942008,     -0.7712597017,     0.03961798116,       3.331835876
          0,           0,          24,       -3.61678385,     -0.7748657386,     0.03991558048,       3.332134141
          0,           0,          25,        -3.6191879,     -0.7792008789,     0.04088530168,       3.331404522
          0,           0,          26,      -3.621120002,     -0.7836615276,     0.04187335591,       3.331246285
          0,           0,          27,      -3.618948253,     -0.7818696985,     0.04307539644,       3.334527739
          0,           0,          28,      -3.616414939,     -0.7797032473,     0.04419616463,        3.33797074
          0,           0,          29,      -3.615846998,      -0.779906844,     0.04568880612,        3.33959126
